HRA	50.345130672 13.331720144 413.917		
99	50.086287963 13.188552961 560.488		
100	50.084729336 13.18658158 543.833		
101	50.080906499 13.181750531 568.906		
102	50.079006381 13.179350373 585.513		
103	50.076062419 13.175632261 584.933		
104	50.073628117 13.172557133 585.121		
105	50.071123441 13.169392203 581.46		
106	50.068617798 13.166221448 588.718		
107	50.066282077 13.163268938 582.257		
108	50.064141526 13.160567685 586.364		
109	50.061844832 13.1576655 582.161		
110	50.060102228 13.155463081 574.617		
111	50.056671794 13.156888258 566.23		
112	50.052866778 13.158466639 570.473		
113	50.049178235 13.159997694 576.206		
114	50.045926922 13.161346823 579.989		
115	50.043479362 13.158069561 582.918		
116	50.040972723 13.154714856 578.317		
117	50.038216861 13.15103225 583.196		
118	50.035506059 13.147418877 597.066		
119	50.033344374 13.144449331 610.494		
120	50.031976894 13.140685652 614.961		
121	50.030069121 13.135421477 619.302		
122	50.028615612 13.131421495 609.96		
123	50.026211763 13.130950009 622.454		
124	50.024163754 13.130550283 629.848		
125	50.02232587 13.132459695 645.418		
126	50.019828154 13.135059169 633.147		
127	50.017983773 13.136980515 608.677		
128	50.01524749 13.139825443 587.046		
129	50.012642173 13.139664378 580.86		
130	50.010817516 13.137625758 587.355		
131	50.008456357 13.134986834 571.963		
132	50.00641395 13.132701833 566.109		
133	50.003096971 13.128998112 569.18		
134	50.001268333 13.126955994 582.856		
135	49.998461536 13.123821885 606.065		
136	49.995761038 13.120810004 628.135		
137	49.993470135 13.118248313 630.302		
138	49.989349475 13.113646536 670.216		
139	49.987451094 13.111528923 685.952		
140	49.985767307 13.107963404 706.71		
141	49.984183358 13.104613492 724.538		
142	49.982907604 13.101913024 721.224		
143	49.980754928 13.097356373 708.044		
144	49.979002269 13.093647057 712.531		
145	49.977169656 13.089768357 713.679		
146	49.975257015 13.085717926 710.137		
147	49.973295042 13.081555969 715.745		
148	49.971515904 13.07778311 721.492		
149	49.969712231 13.073960425 725.199		
150	49.96830935 13.070987409 731.104		
151	49.965542919 13.071243002 730.625		
152	49.962831667 13.07148987 734.806		
153	49.959957363 13.071754146 709.217		
154	49.955917695 13.072121295 711.619		
155	49.953136539 13.072373408 724.48		
156	49.949857107 13.072671115 716.301		
157	49.946041521 13.073020459 706.734		
158	49.942738593 13.07332334 678.107		
159	49.941287616 13.070827141 660.831		
160	49.937524581 13.068712809 672.495		
161	49.934691324 13.067123086 684.857		
162	49.931607307 13.065390628 687.987		
163	49.928705212 13.063761679 665.576		
164	49.925409778 13.061907259 652.674		
165	49.923372362 13.060760735 646.003		
166	49.921309307 13.058064839 640.922		
167	49.919179451 13.055282296 623.012		
168	49.916651872 13.051979245 608.933		
169	49.914883899 13.049672322 603.513		
170	49.912406688 13.046443026 600.463		
171	49.909987429 13.043288639 594.523		
172	49.907374068 13.039880729 590.653		
173	49.904776797 13.036489275 579.233		
174	49.902094947 13.032987202 571.082		
175	49.900356861 13.030719839 569.893		
176	49.899704964 13.027100493 567.114		
177	49.899076483 13.023616572 558.267		
178	49.898435396 13.020067723 543.429		
179	49.897432455 13.014505087 518.644		
180	49.896849238 13.011286846 538.857		
181	49.896233328 13.007869213 555.51		
182	49.894751563 13.007052356 563.36		
183	49.892764257 13.005952352 549.91		
184	49.889206476 13.003981674 548.81		
185	49.886625972 13.002551513 567.77		
186	49.884276964 13.001253147 577.44		
187	49.882127538 13.002178484 581.548		
188	49.879929988 13.003122895 583.166		
189	49.877572037 13.004133367 567.503		
190	49.874765838 13.005337543 560.221		
191	49.871818243 13.006603096 566.358		
192	49.868472775 13.008034941 557.424		
193	49.866064761 13.009064119 545.562		
194	49.863604358 13.010116047 534.009		
195	49.86085692 13.011292861 527.006		
196	49.858022188 13.012507191 514.124		
197	49.856253322 13.010289468 510.835		
198	49.854320523 13.007864926 507.096		
199	49.852785692 13.005942052 503.767		
200	49.849465623 13.001779095 463.63		
201	49.847198167 12.998936666 472.962		
202	49.845101639 12.996310238 490.284		
203	49.843319827 12.994078607 506.416		
204	49.840839052 12.990969501 507.448		
205	49.838535303 12.98808083 519.71		
206	49.836398731 12.985403247 533.243		
207	49.836070445 12.98206578 540.296		
208	49.835643982 12.977707361 534.43		
209	49.835158735 12.972757199 516.574		
210	49.83477493 12.968841746 518.268		
211A	49.83452569 12.96629669 519.961		
211B	49.834267108 12.963659639 521.653		
212	49.833918575 12.960111252 528.607		
213	49.833540434 12.956262912 528.38		
214	49.833143021 12.952210893 533.104		
215	49.83278129 12.948526073 545.027		
216	49.832488605 12.945542118 553.15		
217	49.832036058 12.94093527 567.104		
218	49.832816094 12.936223403 573.108		
219	49.833702977 12.930864623 574.972		
220	49.834524737 12.92590036 585.147		
221	49.833081766 12.921197704 585.14		
222	49.831675714 12.916612485 583.693		
223	49.830356261 12.912311537 565.046		
224	49.827905375 12.910410856 555.796		
225	49.82513165 12.908260519 556.637		
226	49.822399458 12.906143007 547.147		
227	49.819022897 12.903526392 544.748		
228	49.816161306 12.901308528 544.888		
229	49.813245742 12.899047007 538.238		
230	49.810110994 12.896617716 530.608		
231	49.807015937 12.894219375 527.409		
232	49.803689181 12.891640665 549.979		
233	49.800754779 12.889367997 551.779		
234	49.798065222 12.887284537 546.328		
235	49.794497626 12.88452346 529.388		
236	49.791643192 12.882312751 520.267		
237	49.789496618 12.88065169 516.727		
238	49.787043235 12.878753407 519.606		
239	49.785544511 12.875206758 538.727		
240	49.784143386 12.871891692 516.549		
241	49.781243133 12.865032625 514.042		
242	49.780068839 12.862252194 532.444		
243	49.777489085 12.862284508 524.333		
244	49.774630447 12.862319192 526.162		
245	49.770460569 12.862370764 507.791		
246	49.767589056 12.863216943 510.86		
247	49.765292728 12.863893229 504.53		
248	49.761458783 12.865020004 514.159		
249	49.757974967 12.861583465 517.912		
250	49.755626318 12.859268151 521.524		
251	49.753781089 12.857444549 516.285		
252	49.749640824 12.860738476 532.454		
253	49.746401884 12.863316091 547.393		
254	49.742950806 12.862946168 569.804		
255	49.73954074 12.862580286 581.935		
256	49.73577226 12.86217747 578.145		
257	49.732568916 12.861834438 567.125		
258	49.729949673 12.859831084 560.415		
259	49.727089837 12.857646626 553.165		
260	49.724827258 12.855918772 546.314		
261	49.721887605 12.853672146 535.474		
262	49.719186186 12.851609541 529.284		
263	49.717293022 12.850163371 515.195		
264	49.712907074 12.846811957 527.559		
265	49.709956265 12.844557727 542.243		
266	49.709527921 12.840032895 546.036		
267	49.70904717 12.83495054 560.589		
268	49.708679489 12.831080849 576.322		
269	49.708302472 12.827097516 588.394		
270	49.707971488 12.82360214 581.475		
271	49.707282314 12.81632977 525.796		
272	49.706774865 12.81100374 520.607		
273	49.70447828 12.807097285 523.379		
274	49.702183303 12.803194855 531.481		
275	49.700447608 12.800248695 522.713		
276	49.697881239 12.795886783 526.427		
277	49.69589295 12.792505619 531.049		
278	49.692940415 12.790988959 530.311		
279	49.689444842 12.789191888 529.854		
280	49.686117403 12.787483575 535.897		
281	49.682830079 12.785797447 537.75		
282	49.680114221 12.784567993 529.262		
283	49.678840412 12.781608044 517.164		
284	49.676760672 12.776781255 516.988		
285	49.675377667 12.773570222 524.711		
286	49.67411643 12.770641629 519.984		
287	49.672117887 12.765998506 508.918		
288	49.671119564 12.763681609 510.271		
289	49.669967533 12.761002054 515.014		
290	49.67091644 12.756707434 547.435		
291	49.671712518 12.753118837 553.207		
292	49.673010454 12.747288065 540.968		
293	49.673943035 12.743102496 543.269		
294	49.672378806 12.739798332 548.302		
295	49.670444204 12.735712589 552.895		
296	49.668735097 12.732100116 564.368		
297	49.666928216 12.728291096 570.061		
298	49.664747256 12.723689686 585.644		
299	49.663407871 12.7208619 593.816		
300	49.661670917 12.717193817 597.289		
301	49.659898453 12.713453971 598.311		
302	49.658388946 12.710272736 592.273		
303	49.655642349 12.710464563 581.104		
304	49.652596328 12.710676498 577.935		
305	49.649876217 12.710867338 569.717		
306	49.646209672 12.711123011 563.299		
307	49.642726501 12.711365286 564.601		
308	49.639228438 12.711609778 569.344		
309	49.635874796 12.711843762 559.077		
310	49.632694711 12.712066229 552.459		
311	49.629626474 12.712280985 553.512		
312	49.62702431 12.712463343 556.404		
313	49.624832296 12.712614978 559.356		
314	49.623230384 12.709354124 561.936		
315	49.621395591 12.705616416 560.916		
316	49.619924279 12.702623288 555.985		
317	49.617666671 12.698022206 556.424		
318	49.616040854 12.694710127 566.694		
319	49.615836739 12.692248988 554.183		
320	49.615479046 12.687888592 539.011		
321	49.616574088 12.684620974 541.929		
322	49.618482538 12.67894119 553.337		
323	49.619886519 12.674746937 588.095		
324	49.621221575 12.670768465 599.213		
325	49.621114195 12.666061106 624.152		
326	49.621009837 12.66135227 665.05		
327	49.620953248 12.658796221 676.539		
328	49.620862403 12.654652175 648.817		
329	49.620754425 12.649829493 618.075		
330	49.62064339 12.644746783 592.341		
331	49.620561255 12.640924916 601.178		
332	49.621937218 12.639193744 614.796		
333	49.624154814 12.636409068 597.233		
334	49.626758886 12.633136915 589.079		
335	49.630003885 12.633955093 599.709		
336	49.633608997 12.634864858 621.549		
337	49.636101159 12.630414379 655.455		
338	49.635956036 12.627099608 648.373		
339	49.635792403 12.623296219 640.95		
340	49.635641029 12.619828178 610.467		
341	49.635510033 12.616748013 586.564		
342	49.636075749 12.613119088 565.741		
343	49.636778285 12.608621619 551.988		
344	49.639162776 12.607509266 548.906		
345	49.642049988 12.606161212 551.504		
346	49.645075424 12.604743617 553.233		
347	49.648023434 12.603364008 552.641		
348	49.651477794 12.603551281 550.741		
349	49.654688402 12.603720455 556.791		
350	49.658550407 12.603926982 559.411		
351	49.661754439 12.604095188 566.661		
352	49.665295309 12.604284071 568.322		
353	49.668208821 12.604439031 577.283		
354	49.669579638 12.601196092 572.722		
355	49.670583482 12.598823554 570.331		
356	49.671931008 12.595625257 560.15		
357	49.673170587 12.592694259 557.549		
358	49.674152161 12.590372672 556.889		
359	49.676031501 12.585916821 557.638		
360	49.675742041 12.580916731 565.436		
361	49.675523065 12.577151103 570.475		
362	49.676594386 12.574430549 571.434		
363	49.676699385 12.571515048 572.024		
364	49.676844668 12.567546092 578.444		
365	49.677026337 12.562564486 597.714		
366	49.677115124 12.560077045 604.615		
367	49.67530227 12.557047457 608.754		
368	49.673436247 12.553928849 620.153		
369	49.671432674 12.550587756 611.742		
370	49.669953891 12.548117537 631.132		
371	49.668807707 12.546199762 643.711		
372	49.666730391 12.545602693 631.43		
373	49.663993441 12.544803057 605.368		
374	49.66181068 12.544161899 601.796		
375	49.6601355 12.54080273 594.824		
376	49.65799212 12.536504057 580.622		
377	49.656033872 12.532585293 574.72		
378	49.65296461 12.53105315 572.817		
379	49.650319714 12.529732564 571.905		
380	49.647509522 12.52833042 574.804		
381	49.645722581 12.525449384 573.224		
382	49.644176782 12.522957585 558.964		
88	49.641702943 12.518934899 552.615		
