HRA	50.345130672 13.331720144 413.917		
1	50.343637578 13.331059401 412.874		
2	50.34180244 13.330210631 410.972		
3	50.340510643 13.324533522 412.016		
4	50.339524618 13.320196282 385.657		
5	50.335738862 13.319075078 351.152		
6	50.3326883 13.318173244 340.895		
7	50.329887891 13.3173427 334.796		
8	50.328345639 13.313744344 333.258		
9	50.326045609 13.308331924 334.476		
10	50.324104282 13.303786577 338.97		
11	50.322565123 13.298714578 344.655		
12	50.321148412 13.294036222 352.168		
13	50.319517973 13.288658693 358.553		
14	50.318203871 13.284316267 364.225		
15	50.316593634 13.279008049 372		
16	50.315157397 13.274271575 374.833		
17	50.313510714 13.268844826 389.239		
18	50.31246142 13.265379662 404.638		
19	50.30971998 13.263152338 409.921		
20	50.306640194 13.26064928 404.796		
21	50.304051357 13.258542414 413.918		
22	50.301826073 13.256739309 446.498		
23	50.299580996 13.255044348 433.329		
24	50.296758866 13.252913495 416.602		
25	50.293413178 13.25038789 409.519		
26	50.290788938 13.248408603 404.982		
27	50.287866989 13.251253923 402.128		
28	50.285181765 13.253865248 403.584		
29	50.282715487 13.256262394 396.159		
30	50.27906573 13.259815069 422.167		
31	50.275474659 13.263301027 461.704		
32	50.272964803 13.265738945 508.748		
33	50.269909512 13.267409761 495.616		
34	50.267576107 13.268679292 490.652		
35	50.264315983 13.270460446 459.19		
36	50.261127181 13.272187121 462.208		
37	50.257918632 13.273779529 510.376		
38	50.255744719 13.274773778 524.412		
39	50.25274654 13.276146708 489.759		
40	50.249819366 13.27748221 482.176		
41	50.247282276 13.278642341 477.521		
42	50.244165941 13.280068829 469.037		
43	50.24078908 13.280740442 459.416		
44	50.237093687 13.28146749 487.516		
45	50.234163428 13.282043589 494.054		
46	50.230324299 13.282801777 483.705		
47	50.227140014 13.283428865 493.983		
48	50.223709557 13.284102723 499.193		
49	50.220618469 13.284710922 495.921		
50	50.217362298 13.285356176 500.86		
51	50.214132494 13.285992071 509.21		
52	50.21132057 13.286548575 531.428		
53	50.206984692 13.287408243 561.9		
54	50.203704228 13.288051833 534.818		
55	50.200767859 13.28798451 549.856		
56	50.197254892 13.287914309 558.063		
57	50.193572195 13.2878377 519.709		
58	50.190680609 13.287778153 567.803		
59	50.186408535 13.287686866 571.118		
60	50.183177916 13.287615823 564.802		
61	50.179162033 13.287529761 498.669		
62	50.175989542 13.287460602 489.294		
63	50.173632568 13.285670984 488.802		
64	50.171245749 13.283861324 507.459		
65	50.169151744 13.282271457 490.886		
66	50.165263195 13.279321302 513.409		
67	50.163143377 13.277714171 541.016		
68	50.160314511 13.275571491 557.715		
69	50.157133494 13.273159392 573.324		
70	50.154234563 13.270958873 555.763		
71	50.15175364 13.269075179 539.081		
72	50.147809552 13.266089829 516.523		
73	50.145359146 13.264234724 487.86		
74	50.142791414 13.262288929 497.458		
75	50.13937521 13.260808794 496.937		
76	50.136284217 13.259472126 509.375		
76A	50.134877352 13.257021539 515.842		
77	50.134037672 13.255570852 517.316		
78	50.132000695 13.252035042 527.396		
79	50.13025994 13.25186415 520.93		
80	50.126404663 13.251485646 553.779		
81	50.123284141 13.251179392 554.946		
82	50.121487328 13.24716085 558.815		
83	50.120227119 13.240977496 563.746		
84	50.119181534 13.235833723 594.826		
85	50.118090242 13.230480633 604.465		
86	50.117097071 13.225609592 618.655		
87	50.116135773 13.220906501 622.854		
88	50.115069946 13.215684915 623.784		
89	50.114141136 13.211125863 618.973		
90	50.111559683 13.2100761 626.289		
91	50.108121144 13.208679544 585.746		
92	50.104604914 13.207246654 567.664		
93	50.101663978 13.206053246 573.37		
94	50.099399901 13.205130738 571.974		
95	50.097118135 13.202241532 581.552		
96	50.094937413 13.199488714 568.869		
97	50.090628603 13.194046811 575.103		
98	50.088448524 13.19128225 572.31		
