HRA	50.346406163 13.332341257 413.841		
169	49.980686104 13.629634021 471.855		
170	49.977925423 13.630862778 475.629		
171	49.974466328 13.632402603 469.955		
172	49.971671531 13.633644382 471.269		
173	49.968219262 13.635175759 473.564		
174	49.965364693 13.636442661 450.067		
175	49.962415783 13.637753366 442.631		
176	49.959719416 13.638952315 423.824		
177	49.956540533 13.64036656 410.118		
178	49.954742986 13.641712296 404.12		
179	49.951512738 13.644126365 376.743		
180	49.949086056 13.645944233 367.125		
181	49.945123632 13.645301393 358.365		
182	49.942582274 13.6448878 353.071		
183	49.940593576 13.64059589 364.69		
184	49.938820842 13.636774076 368.738		
185	49.937197097 13.63327105 345.945		
186	49.932080114 13.628370654 409.212		
187	49.930695944 13.627045865 420.736		
188	49.926731461 13.623250859 455.439		
189	49.924417053 13.623023551 469.064		
190	49.921779988 13.62276164 446.381		
191	49.918737846 13.622460595 442.378		
192	49.916199329 13.622211016 454.905		
193	49.913144298 13.621907979 458.482		
194	49.91064084 13.621659472 464.489		
195	49.908110566 13.621409987 466.835		
196	49.904556225 13.621060948 471.024		
197	49.901489497 13.620755895 492.501		
198	49.898707296 13.620480435 512.787		
199	49.896880613 13.618849373 490.071		
200	49.893655225 13.61596375 494.308		
201	49.891556708 13.614093017 497.072		
202	49.889134576 13.611924603 481.447		
203	49.885961615 13.609077716 461.403		
204	49.883787807 13.607133852 464.057		
205	49.881914012 13.605464208 447.231		
206	49.879033354 13.602888868 449.488		
207	49.87667843 13.600782714 485.704		
208	49.876520844 13.599006098 467.825		
209	49.875780193 13.590662068 417.452		
210	49.875607888 13.588742726 428.503		
211	49.875293109 13.585229013 435.246		
212	49.874889227 13.580700992 442.28		
213	49.874478687 13.576092676 457.613		
214	49.874120513 13.572076611 466.706		
215	49.873679462 13.567146391 479.539		
216	49.873304096 13.562952755 477.712		
217	49.872856534 13.557951808 463.675		
218	49.87243168 13.553183522 477.088		
219	49.872059027 13.54902241 480.641		
220	49.871672509 13.544691228 471.043		
221	49.871186063 13.539246758 446.056		
222	49.870780981 13.534706972 424.558		
223	49.870458753 13.531111458 412.24		
224	49.869868251 13.524533678 379.784		
225	49.86960937 13.521639538 382.106		
226	49.867967819 13.52027768 376.049		
227	49.864580081 13.517462892 381.946		
228	49.862125526 13.515423673 392.091		
229	49.858834086 13.512688739 414.517		
230	49.856743068 13.510951233 419.121		
231	49.8534104 13.508179199 414.358		
232	49.851498849 13.506591645 419.131		
233	49.848546873 13.506484394 392.595		
234	49.845412668 13.506372215 394.069		
235	49.842344418 13.506262315 396.553		
236	49.839755218 13.506169175 390.486		
237	49.835873747 13.506030983 399.451		
238	49.833199508 13.505936657 402.734		
239	49.831271006 13.504020225 403.728		
240	49.828143671 13.500915256 406.174		
241	49.825627261 13.498411457 425.999		
242	49.823778984 13.496576739 434.302		
243	49.821885405 13.494695474 430.066		
244	49.819082294 13.49190558 391.391		
245	49.817738802 13.488292329 397.324		
246	49.816057055 13.483783346 406.239		
247	49.814501033 13.47961525 412.663		
248	49.812878546 13.475266979 408.887		
249	49.811176392 13.470713391 417.871		
250	49.80980066 13.467023687 431.705		
251	49.806945223 13.46593515 418.209		
252	49.804629989 13.465056642 397.292		
253	49.801847899 13.466931702 378.854		
254	49.797012874 13.470175665 363.329		
255	49.794846996 13.471630217 378.482		
256	49.792778286 13.473016384 383.504		
257	49.790839539 13.474317992 390.416		
258	49.787098445 13.474612047 421.512		
259	49.785367274 13.474749118 423.705		
260	49.782555169 13.474973029 429.659		
261	49.78019931 13.475155588 446.573		
CHR	49.778968085 13.475664211 453.425		
