HRA	50.347518427 13.326860945 418.257		
1	50.349012074 13.327594114 416.57		
2	50.3497527 13.331921163 405.87		
3	50.348099599 13.336184702 404.668		
4	50.347585117 13.337512532 401.058		
5	50.345160668 13.338449753 396.025		
6	50.342413727 13.340452926 390.102		
7	50.339457047 13.342608955 391.809		
8	50.336446562 13.344799962 397.506		
9	50.335734315 13.350608776 391.269		
10	50.335040399 13.356272467 383.973		
11	50.337582444 13.360801619 366.366		
12	50.337110757 13.364501936 362.772		
13	50.336437687 13.369799722 360.396		
14	50.335709711 13.375514418 360.821		
15	50.334973504 13.381180816 361.377		
16	50.334192763 13.387132874 360.572		
17	50.333409547 13.393103578 357.168		
18	50.332788219 13.397833785 355.664		
19	50.33066725 13.40203849 360.175		
20	50.328159887 13.407009402 361.644		
21	50.325677587 13.411935616 360.943		
22	50.323262765 13.416722745 360.432		
23	50.320934525 13.421336067 352.661		
24	50.318596799 13.425967462 336.061		
25	50.316372491 13.430372338 325.141		
26	50.313561577 13.432732349 318.385		
27	50.31075317 13.435089341 305.09		
28	50.306718346 13.438477009 288.907		
29	50.303693765 13.441016583 302.282		
30	50.300684501 13.443541851 316.328		
31	50.297673127 13.446066293 328.763		
32	50.294675183 13.448584258 343.519		
33	50.291676564 13.451103047 363.234		
34	50.288645971 13.453638407 396.34		
35	50.285351215 13.456404332 392.766		
36	50.282251431 13.459004225 384.831		
37	50.282419855 13.463827638 377.895		
38	50.282608036 13.469239386 377.598		
39	50.282792396 13.474535941 373.051		
40	50.282977143 13.479865452 364.393		
41	50.28316159 13.485181258 355.804		
42	50.283345498 13.490521447 347.016		
43	50.283529825 13.49586578 337.507		
44	50.283696116 13.500687055 334.23		
45	50.282686171 13.505549643 320.706		
46	50.281485661 13.511332312 314.411		
47	50.280574607 13.515712656 319.118		
48	50.279381805 13.521447935 333.663		
49	50.278280357 13.526748246 352.789		
50	50.277134411 13.532253156 346.584		
51	50.275886327 13.53825669 327.179		
52	50.27488747 13.543060154 322.955		
53	50.273781541 13.548382557 315.621		
54	50.27262107 13.553955953 289.037		
55	50.271425663 13.559697717 274.835		
56	50.270147695 13.565845696 299.974		
57	50.271421218 13.57136177 292.546		
58	50.272501957 13.576043519 295.508		
59	50.273807486 13.581691255 308.499		
60	50.274996716 13.586836215 315		
61	50.276120513 13.591699147 308.442		
62	50.277406249 13.596177977 297.124		
63	50.278602208 13.600343408 320.137		
64	50.279374398 13.603036414 323.252		
65	50.280505353 13.606976511 310.796		
66	50.281602087 13.610804133 314.639		
67	50.282928102 13.615431571 324.611		
68	50.284137385 13.619650348 322.874		
69	50.285310664 13.623745714 322.287		
70	50.286757083 13.628795693 311.238		
71	50.287004855 13.634064898 322.843		
72	50.287241591 13.639087544 339.069		
73	50.287470013 13.643959894 358.344		
74	50.287714575 13.649182595 361.999		
75	50.28787986 13.652675745 350.925		
76	50.288134307 13.658035755 338.649		
77	50.288377011 13.663216051 368.252		
78	50.288544335 13.66679768 372.638		
79	50.289461423 13.672142666 360.009		
80	50.290401401 13.677615161 358.17		
81	50.291399585 13.683437843 358.961		
82	50.292298704 13.688676627 355.653		
83	50.293341004 13.694758031 347.233		
84	50.294324882 13.700499687 345.153		
85	50.295252126 13.705918033 343.113		
86	50.296192918 13.711407618 343.313		
87	50.297082363 13.716599459 341.303		
38B	50.29897503 13.719707214 332.902		
38A	50.298933331 13.720295365 333.231		
37	50.302796715 13.720660025 330.124		
36	50.306897792 13.72136871 307.385		
35	50.310384834 13.721967867 326.659		
34	50.313279282 13.72246798 289.707		
33	50.316475734 13.723019538 273.013		
32	50.320034809 13.72363418 288.068		
31	50.322958029 13.724139956 273.447		
30	50.325930087 13.724651893 293.755		
29	50.329673587 13.725291254 284.812		
28	50.332721728 13.725816082 275.061		
27	50.335421801 13.726280974 268.791		
26	50.338276201 13.726772213 252.221		
25	50.341535304 13.727334365 244.04		
24	50.344694775 13.72697129 241.221		
23	50.34779212 13.726614352 239.562		
22	50.350814822 13.726265722 240.324		
21	50.35381845 13.725918167 245.626		
20C	50.356296136 13.723681556 227.752		
20B	50.359610264 13.721049574 227.586		
20A	50.361829629 13.71868562 228.783		
20	50.364203491 13.716543026 227.93		
19	50.366555001 13.716297697 227.485		
18	50.368932907 13.716048969 227.02		
17	50.370692834 13.721503026 226.869		
16	50.371460333 13.723868578 226.834		
15	50.374461965 13.7235192 249.228		
14	50.377363433 13.723184155 247.692		
13	50.380745385 13.722792522 245.915		
12	50.384191436 13.722394475 254.938		
11	50.386978636 13.722071682 254.902		
10	50.390073587 13.721712698 259.356		
9	50.392670185 13.721412663 263.34		
8	50.394339446 13.718182642 267.22		
7	50.39630402 13.714379515 279.319		
6	50.397856421 13.711375068 275.658		
5	50.397007134 13.708503593 280.753		
4	50.396075797 13.705356262 271.059		
3	50.395116606 13.702115942 263.704		
2	50.394357704 13.699551443 261.239		
1	50.395113808 13.697990608 260.959		
VYS	50.395662664 13.697313357 261.578		
